English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
EEPROM read failed. Reset and restored to default values.	EEPROM-Lesen fehlgeschlagen. Auf Standardwerte zurückgesetzt.	La lecture de l'EEPROM a échoué. Réinitialisation et restauration des valeurs par défaut.	Lettura EEPROM fallita. Resettare e ripristinare i valori predefiniti.	EEPROM-lukeminen epäonnistui. Nollattu ja palautettu oletusarvoihin.	EEPROM lezen mislukt. Reset en herstel naar standaardwaarden.	Odczyt EEPROM nie powiódł się. Zresetuj i przywróć do wartości domyślnych.	EEPROM-læsning mislykkedes. Nulstilles og gendannes til standardværdier.	EEPROM 읽기가 실패했습니다. 기본값으로 재설정 및 복원.	EEPROM-läsning misslyckades. Återställs till standardvärden.	EEPROMの読み取りに失敗しました。リセットしてデフォルト値に戻します。	Error en la lectura de la EEPROM. Restablecimiento y restauración de los valores por defecto.
Grbl '$' command cannot be used unless Grbl is IDLE. Ensures smooth operation during a job.	Grbl '$' Befehl kann nicht verwendet werden, wenn Grbl nicht IDLE ist. Gewährleistet einen reibungslosen Betrieb während eines Jobs.	La commande '$' GRBL ne peut être utilisée que si le GRBL est inactif. Assure le bon fonctionnement pendant un travail.	Il comando Grbl '$' non può essere usato se Grbl non è IDLE. Assicura un funzionamento regolare durante un lavoro.	Grbl '$' -komentoa ei voi käyttää, ellei Grbl ole IDLE. Varmistaa häiriöttömän toiminnan työn aikana.	Grbl "$" commando kan niet gebruikt worden tenzij Grbl in IDLE staat. Zorgt voor een soepele werking tijdens een opdracht.	Polecenie Grbl '$' nie może być użyte, jeśli Grbl jest w stanie spoczynku. Zapewnia to płynną pracę podczas wykonywania zadania.	Grbl '$'-kommandoen kan ikke bruges, medmindre Grbl er ledig. Sikrer en problemfri drift under et job.	grbl이 멈춤상태가 아닌한 grbl'$'명령을 사용 할 수 없습니다. 작업중에 원활한 작동을 보장합니다.	Grbl-kommandot "$" kan inte användas om Grbl inte är i viloläge. Säkerställer smidig drift under ett jobb.	Grbl '$' コマンドは Grbl が IDLE でない限り使用できません。作業中のスムーズな操作を保証します。	El comando Grbl '$' no se puede usar a menos que Grbl esté INACTIVO. Garantiza un funcionamiento suave durante un trabajo.
G-code locked out during alarm or jog state.	G-Code während Alarm oder Jog-Modus gesperrt.	Le G-code est verrouillé pendant l'état d'alarme ou de déplacement.	Codice G bloccato durante l'allarme o lo stato di jog.	G-koodi lukittu pois hälytys- tai jog-tilan aikana.	G-code vergrendeld tijdens alarm of jogtoestand.	G-code zablokowany podczas alarmu lub obsługi ręcznej.	G-koden er låst ude under alarm eller jog-tilstand.	알람 또는 움직이는 상태 중에 G코드가 잠겨있습니다.	G-kod låst under larm eller joggningstillstånd.	アラームまたはジョグ状態中に G コードがロックアウトされました。	Código G bloqueado durante el estado de alarma o jogging.
Soft limits cannot be enabled without homing also enabled. Check $22 setting.	Softlimits können nicht aktiviert werden, ohne dass die Referenzfahrt ebenfalls aktiviert ist.  Prüfen Sie die Einstellung $22.	Les limites virtuelles ne peuvent pas être activées sans avoir aussi activé la prise d'origine. Vérifiez le paramètre $22.	I limiti soft non possono essere abilitati senza che sia abilitato anche l'homing.  Controllare impostazione $22.	Pehmeitä rajoja ei voi ottaa käyttöön ilman, että myös homing on käytössä.  Tarkista $22-asetus.	Soft limits kunnen niet ingeschakeld worden zonder dat homing ook ingeschakeld is.  Controleer de $22 instelling.	Miękkie limity nie mogą być włączone bez włączonego bazowania.  Sprawdź ustawienia $22.	Bløde grænser kan ikke aktiveres, uden at der også er aktiveret hjemfinding. Kontroller $22-indstillingen.	원점복귀를 활성화하지 않으면 소프트 리미트를 활성화할 수 없습니다.	Mjuka begränsningar kan inte aktiveras utan att nollställning är aktiverad. Kontrollera inställningen $22.	ソフトリミットは、ホーミングも有効にしないと有効にできません。 22ドルの設定を確認してください。	Los límites suaves no pueden ser activados sin que la búsqueda de destino también esté activada.  Compruebe la configuración de $22.
Max characters per line exceeded. Line was not processed and executed.	Maximale Zeichen pro Zeile überschritten. Zeile wurde nicht verarbeitet und ausgeführt.	Caractères maximum par ligne dépassés. La ligne n'a ni été traitée, ni exécutée.	Caratteri massimi per linea superati. La linea non è stata elaborata ed eseguita.	Maksimimerkit riviä kohti ylitetty. Riviä ei käsitelty eikä suoritettu.	Max tekens per regel overschreden. Regel werd niet verwerkt en uitgevoerd.	Przekroczono maksymalną liczbę znaków w wierszu. Linia nie została przetworzona i wykonana.	Maksimalt antal tegn pr. linje overskredet. Linjen blev ikke behandlet og udført.	라인당 최대 문자 수를 초과했습니다. 라인이 처리 및 실행되지 않았습니다.	Max antal tecken per rad har överskridits. Linjen har inte behandlats och utförts.	1 行あたりの最大文字数を超えました。行は処理および実行されませんでした。	Se ha superado el máximo de caracteres por línea. La línea no fue procesada y ejecutada.
Compile Option Grbl '$' setting value exceeds the maximum step rate supported.	Grbl '$' Einstellwert überschreitet die maximal unterstützte Schrittrate.	La valeur du paramètre GRBL "$" dépasse la cadence maximale supportée.	Il valore dell'impostazione di Compile Option Grbl '$' supera la velocità massima di passo supportata.	Compile Option Grbl '$' -asetusarvo ylittää tuetun enimmäisaskelnopeuden.	Compileer Optie Grbl "$" instellingswaarde overschrijdt de maximaal ondersteunde stapsnelheid.	Wartość ustawienia opcji kompilacji Grbl „$” przekracza maksymalną obsługiwaną szybkość kroku.	Indstillingsværdien for Compile Option Grbl '$' overstiger den maksimale trinhastighed, der understøttes.	컴파일 옵션 grbl '$'설정 값이 지원되는 최대 단계 속도를 초과합니다.	Inställningsvärdet för kompileringsalternativet Grbl "$" överskrider den maximala stegfrekvens som stöds.	コンパイル オプション Grbl '$' の設定値がサポートされている最大ステップ レートを超えています。	El valor de ajuste de la opción de compilación Grbl '$' excede la tasa de paso máxima soportada.
Interrupt bar detected as pressed. Check all four contacts at the interrupt bar ends are not pressed. Pressing each switch a few times may clear the contact.	Unterbrechungsleiste wurde als gedrückt erkannt. Prüfen Sie, dass alle vier Kontakte an den Enden der Unterbrechungsleiste nicht gedrückt sind. Wenn Sie jeden Schalter ein paar Mal drücken, wird der Kontakt möglicherweise gelöscht.	Barre d'interruption détectée comme enfoncée. Vérifiez que les quatre capteurs aux extrémités de la barre d'interruption ne sont pas enfoncés. En appuyant plusieurs fois sur chaque capteur, vous pouvez décoincer le contact.	Barra di sicurezza rilevata come premuta. Controlla che tutti e quattro i contatti alle estremità della barra non siano premuti. Premendo ogni interruttore alcune volte si può azzerare il contatto.	Keskeytyspalkki havaittiin painetuksi. Tarkista, että kaikki neljä kontaktia keskeytyspalkin päissä eivät ole painettuina. Jokaisen kytkimen painaminen muutaman kerran voi tyhjentää kontaktin.	Interruptbalk gedetecteerd als ingedrukt. Controleer of alle vier de contacten aan de uiteinden van de onderbrekingsbalk niet ingedrukt zijn. Een paar keer op elke schakelaar drukken kan het contact wissen.	Wykryto wciśnięcie poprzecznego wyłącznika bezpieczeństwa. Sprawdź, czy wszystkie cztery styki na końcach wyłącznika nie są wciśnięte. Kilkukrotne naciśnięcie każdego wyłącznika może rozwiązać problem.	Afbrydelsesbjælke registreret som trykket. Kontroller, at alle fire kontakter ved afbrydelsesstangens ender ikke er trykkede. Hvis du trykker på hver kontakt et par gange, kan kontakten ryddes.	인터럽트바 접촉압력 감지됨: 인터럽트바 4곳의 끝에 압력이 가해지는지 모두 확인 하십시오. 해당 스위치를 부위를 누르면 잠금이 해제 될 수 있습니다	Kollisionsskyddet är aktiverat. Kolla alla fyra brytare vid ändarna så att de inte är nedtryckta. Att trycka ner brytarna några gånger på varje brytare kan rensa kontakten	割り込みバーの押下が検出されました。割り込みバーの端にある 4 つの接点がすべて押されていないことを確認します。各スイッチを数回押すと接点が消える場合があります。	Barra de interrupción detectada como presionada. Compruebe que los cuatro contactos de los extremos de la barra de interrupción no están pulsados. Pulsar cada interruptor unas cuantas veces puede despejar el contacto.
Grbl-Mega Only Build info or startup line exceeded EEPROM line length limit.	Grbl-Mega Build: Info oder Startup-Zeile überschreitet EEPROM-Zeilenlängengrenze.	(GRBL-MEGA seulement) La longueur de la ligne d'info ou de démarrage dépasse la limite de longueur de ligne de l'EEPROM.	Grbl-Mega Only Build info o linea di avvio ha superato il limite di lunghezza della linea EEPROM.	Grbl-Mega Vain Rakennustieto- tai käynnistysrivi ylitti EEPROM-rivin pituusrajan.	Grbl-Mega Alleen bouwinfo of opstartregel overschrijdt EEPROM regellengte limiet.	Grbl-Mega informacje o kompilacji lub linia startowa przekroczyła limit długości linii EEPROM.	Grbl-Mega Only Build info eller startup-linje overskred grænsen for EEPROM-linjelængde.	Grbl-Mega 전용 빌드 정보 또는 시작 라인이 EEPROM 라인 길이 제한을 초과했습니다.	Grbl-Mega Endast Build info eller startup-linjen överskred gränsen för EEPROM-linjernas längd.	Grbl-Mega のみ ビルド情報または起動行が EEPROM 行の長さ制限を超えました。	Sólo Grbl-Mega La línea de información de construcción o de inicio ha superado el límite de longitud de línea de la EEPROM.
Jog target exceeds machine travel. Command ignored. Have you homed the machine yet? If not, please do so now.	Jog-Ziel überschreitet die Maschinenmaße. Befehl wird ignoriert. Haben Sie schon eine Referenzfahrt durchgeführt? Wenn nicht, tun Sie dies bitte jetzt.	La lecture de l'EEPROM a échoué. Réinitialisation et restauration des valeurs par défaut.	Il limite di jog supera la corsa della macchina. Comando ignorato. Ha già fatto l'homing della macchina? Se no, fallo ora.	Jog-kohde ylittää koneen liikeradan. Komento jätetty huomiotta. Oletko jo kotiuttanut koneen? Jos et, tee se nyt.	Jog doel overschrijdt machine slag. Opdracht genegeerd. Hebt u de machine al in de oorspronkelijke stand gezet? Zo niet, doe dat dan nu.	Cel ruchu ręcznego przekracza zakres maszyny. Polecenie zignorowane. Czy wykonałeś/aś bazowanie?  Jeśli nie, proszę zrób to teraz.	Jog-målet overstiger maskinens kørsel. Kommando ignoreret. Har du kørt maskinen i hjem endnu? Hvis ikke, gør det nu.	이동 목표가 기계이동 가능거리를 초과하여. 명령이 무시되었습니다. 아직 기계를 홈에 두지 않았습니까? 그렇지 않다면 지금 그렇게 하십시오	Förflyttningen överskrider maskinens yttre gränser. Komandot ingnoreras. Har du kört hem maskinen(Nollställt)?Om inte, gör det nu.	ジョグ目標が機械の移動量を超えています。コマンドは無視されました。もうマシンをホームに戻しましたか?そうでない場合は、今すぐそうしてください。	El objetivo de jog excede el recorrido de la máquina. Comando ignorado. ¿Ya ha localizado la máquina? Si no es así, hágalo ahora.
Jog command with no '=' or contains prohibited g-code.	Jog-Befehl ohne '=' oder enthält verbotenen g-Code.	Commande de déplacement sans '=' ou contenant un G-code interdit.	Comando di jog senza '=' o contenente g-code proibito.	Jog-komento, jossa ei ole '=' tai joka sisältää kiellettyä g-koodia.	Jog-commando zonder "=" of bevat verboden g-code.	Polecenie trybu ręcznego bez znaku '=' lub zawiera niedozwolony G-code.	Jog-kommando uden "=" eller indeholder forbudt g-kode.	no '='또는 금지 된 g 코드가 포함 된 Jog 명령.	Förflyttningskommandon utan "=" eller innehåller förbjuden g-kod.	ジョグコマンドに「=」がないか、禁止されている G コードが含まれています。	Comando Jog sin '=' o que contiene código g prohibido.
Laser mode requires PWM output.	Laser-Modus erfordert PWM-Ausgang.	Le mode laser nécessite une sortie PWM.	Il modo laser richiede un'uscita PWM.	Lasertila vaatii PWM-lähtöä.	Lasermodus vereist PWM-uitgang.	Tryb laserowy wymaga wyjścia PWM.	Lasertilstand kræver PWM-udgang.	레이저 모드에는 PWM 출력이 필요합니다.	Laserläget kräver PWM-utgång.	レーザーモードには PWM 出力が必要です。	El modo láser requiere una salida PWM.
Unsupported or invalid g-code command found in block.	Nicht unterstützter oder ungültiger g-code-Befehl im Block gefunden.	Commande de G-code non prise en charge ou invalide trouvée dans le bloc.	Comando g-code non supportato o non valido trovato nel blocco.	Lohkosta löytyi tukematon tai virheellinen g-koodikomento.	Niet-ondersteund of ongeldig g-code commando gevonden in blok.	Nieobsługiwane lub nieprawidłowe polecenie G-code znalezione w bloku.	Ikke understøttet eller ugyldig g-kodekommando fundet i blok.	블록에서 찾은 지원되지 않거나 유효하지 않은 G 코드 명령.	Ett olämpligt eller ogiltigt g-kodkommando har hittats i blocket.	ブロック内でサポートされていない、または無効な G コード コマンドが見つかりました。	Se ha encontrado un comando g-code no compatible o no válido en el bloque.
